ID,Titulo,Epica,EpicaNombre,Como,Quiero,Para,Puntos,Microservicio,PaqueteFlutter,Tablas,Pantalla,DependeDe,Etiquetas,CriteriosAceptacion,Notas
HU-022,Cupo de crédito y cartera del cliente,E02,Clientes y cartera,administrador del negocio,asignar cupo de crédito y ver el saldo de cada cliente,saber a quién puedo venderle a plazo y a quién no,5,servicio-clientes,core,"clientes, cuentas_por_cobrar, recaudos",design/pantallas/ClientesWeb.html,HU-021,"clientes, backend, flutter","1. Dado un cliente con cupo de $5.000.000 y saldo de $4.800.000, cuando se intenta una venta a crédito de $500.000, entonces el API avisa que excede el cupo.
2. Dada una cuenta por cobrar vencida, cuando consulto el cliente, entonces aparece marcada como vencida con los días de mora.
3. Dado un recaudo parcial, cuando lo registro, entonces el saldo baja y el estado pasa a `PARCIAL`.
4. Dado un recaudo que iguala el monto, cuando lo registro, entonces la cuenta queda `PAGADA` y el saldo del cliente se ajusta.",
HU-023,Métricas del cliente alimentadas por eventos,E02,Clientes y cartera,gerente,ver cuánto ha comprado un cliente y cuándo fue su última compra,saber a quién vale la pena llamar,5,servicio-clientes,—,cliente_metricas,—,"HU-008, HU-021","clientes, backend, eventos","1. Dado un evento `venta_completada`, cuando lo consume el servicio, entonces `cliente_metricas` suma el documento y el monto.
2. Dado el mismo evento entregado dos veces, cuando llega el duplicado, entonces las métricas no se duplican.
3. Dado un evento `estancia_finalizada` o `pedido_completado`, cuando llega, entonces actualiza las mismas métricas — los tres patrones alimentan la misma proyección.
4. Dada una venta anulada, cuando llega el evento, entonces las métricas se ajustan hacia abajo.",
HU-024,Historial de interacciones con el cliente,E02,Clientes y cartera,vendedor,"registrar llamadas, visitas y notas sobre un cliente",que la siguiente persona que lo atienda sepa qué se habló,2,servicio-clientes,core,interacciones,design/pantallas/ClientesMovil.html,HU-021,"clientes, backend, flutter","1. Dado un cliente, cuando registro una interacción, entonces queda con tipo, fecha, autor y detalle.
2. Dado un cliente con interacciones, cuando abro su ficha, entonces las veo en orden cronológico inverso.
3. Dada una interacción con seguimiento, cuando llega la fecha, entonces genera una alerta al responsable.",
HU-025,Listado de clientes en móvil con búsqueda y filtros,E02,Clientes y cartera,vendedor en mostrador,buscar un cliente rápido desde el celular,no demorar la venta buscando a quién facturar,3,—,core,clientes,design/pantallas/ClientesMovil.html,HU-021,"clientes, flutter","1. Dada la lista, cuando escribo en el buscador, entonces filtra por nombre, NIT o cédula sin recargar.
2. Dado que no hay conexión, cuando abro la lista, entonces veo los clientes cacheados localmente.
3. Dados los filtros «con saldo» y «vencidos», cuando los aplico, entonces la lista responde al instante.",
HU-026,Categorías del negocio con jerarquía,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,crear mis propias categorías de producto,"organizar el catálogo con las palabras de mi negocio, no con las del sistema",3,servicio-inventario,inventario,categorias,design/pantallas/CategoriasWeb.html,"HU-006, HU-011","inventario, backend, flutter","1. Dado mi negocio, cuando creo una categoría, entonces queda asociada a mi `negocio_id` y no la ve ningún otro negocio.
2. Dada una categoría con el mismo nombre y padre, cuando la creo de nuevo, entonces responde 409.
3. Dada una categoría con productos, cuando intento eliminarla, entonces responde 409 y me pide moverlos primero.
4. Dada una subcategoría, cuando la creo, entonces hereda los atributos de su padre marcados como heredables.",
HU-027,Definir los atributos que exige cada categoría,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,decidir qué campos extra pide un producto según su categoría,que una droguería exija lote y vencimiento sin que nadie programe nada,8,servicio-inventario,inventario,atributos_categoria,design/pantallas/CategoriasWeb.html,HU-026,"inventario, backend, flutter, clave","1. Dada una categoría, cuando defino un atributo, entonces elijo su tipo entre TEXTO, NUMERO, DECIMAL, FECHA, BOOLEANO, LISTA y MULTILISTA.
2. Dado un atributo de tipo LISTA, cuando lo guardo sin opciones, entonces responde 422.
3. Dado un atributo marcado obligatorio, cuando ya existen productos sin ese valor, entonces se me advierte y los existentes conservan lo que tienen.
4. Dado un `nombre_campo` repetido en la misma categoría, cuando lo creo, entonces responde 409.
5. Dado un atributo con validación de rango, cuando un producto se sale del rango, entonces el guardado del producto falla con 422.","Esta es la historia que sostiene la tesis del producto: ferretería, papelería y droguería usan las mismas tablas y solo cambian estas filas."
HU-028,Crear producto con validación de atributos dinámicos,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,crear un producto y que el sistema me exija los campos de su categoría,no tener que pedir un desarrollo cada vez que aparece un tipo de producto nuevo,8,servicio-inventario,inventario,"productos, categorias, atributos_categoria, unidades_medida",design/pantallas/ProductoWeb.html,HU-027,"inventario, backend, flutter, clave","1. Dada la categoría «Medicamentos» que exige `lote` y `fecha_vencimiento`, cuando creo un producto sin ellos, entonces responde 422 nombrando los campos que faltan.
2. Dado un producto válido, cuando lo guardo, entonces sus atributos quedan en la columna JSONB `atributos` y no en columnas nuevas.
3. Dado un SKU repetido en mi negocio, cuando lo guardo, entonces responde 409.
4. Dado un código de barras repetido, cuando lo guardo, entonces responde 409 — pero dos productos sin código de barras conviven sin problema.
5. Dado un producto marcado `perecedero`, cuando lo guardo sin `maneja_lotes`, entonces el CHECK de la base lo rechaza.
6. Dado un atributo de tipo NUMERO, cuando envío texto, entonces responde 422.",
HU-029,Bodegas y existencias por producto y bodega,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,saber cuánto tengo de cada producto en cada bodega,no vender lo que está en otra sede o ya está apartado,5,servicio-inventario,inventario,"bodegas, existencias",design/pantallas/InventarioWeb.html,HU-028,"inventario, backend, clave","1. Dado un producto en tres bodegas, cuando consulto su stock, entonces veo la cantidad por bodega y el total.
2. Dada una existencia, cuando consulto `cantidad_disponible`, entonces es `cantidad - cantidad_reservada` calculada por la base, no por la app.
3. Dado un negocio nuevo, cuando se crea, entonces tiene una bodega principal por defecto.
4. Dada una bodega con existencias, cuando intento eliminarla, entonces responde 409.","El stock es `(producto, bodega)`, no una columna de `productos`. Es la corrección más importante sobre el diseño original: moverlo después obliga a reescribir todas las consultas de venta."
HU-030,Libro mayor de movimientos de inventario,E03,Inventario · catálogo del patrón Venta directa,auditor,que todo cambio de stock quede registrado y no se pueda alterar,poder explicar cualquier descuadre sin adivinar,8,servicio-inventario,—,"movimientos_inventario, existencias",—,HU-029,"inventario, backend, clave","1. Dado cualquier cambio de stock, cuando ocurre, entonces se inserta un movimiento con tipo, signo, cantidad, saldo posterior, origen y usuario.
2. Dado un movimiento ya insertado, cuando alguien intenta actualizarlo o borrarlo, entonces la operación se rechaza — la tabla es append-only.
3. Dado el mismo evento entregado dos veces, cuando llega el duplicado, entonces choca contra `UNIQUE(negocio_id, idempotency_key)` y el stock no se descuenta dos veces.
4. Dado el libro completo, cuando sumo los movimientos de un producto en una bodega, entonces el resultado coincide exactamente con `existencias.cantidad`.
5. Dado un error de registro, cuando hay que corregirlo, entonces se hace con un movimiento contrario, no editando el original.",
HU-031,Lotes y fechas de vencimiento,E03,Inventario · catálogo del patrón Venta directa,administrador de droguería,controlar lotes con su fecha de vencimiento,cumplir la norma sanitaria y no vender producto vencido,5,servicio-inventario,inventario,"lotes, existencias_lote",—,HU-030,"inventario, backend","1. Dado un producto que maneja lotes, cuando entra mercancía, entonces se exige el código de lote.
2. Dado un lote, cuando consulto su existencia, entonces la veo desglosada por bodega.
3. Dado un producto perecedero, cuando se vende, entonces el sistema sugiere el lote de vencimiento más próximo (FEFO).
4. Dado un lote vencido, cuando intento venderlo, entonces se bloquea salvo autorización explícita, y esa autorización queda registrada.",
HU-032,Traslados entre bodegas,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,mover mercancía de una bodega a otra con trazabilidad,que lo que sale de una sede y aún no llega a la otra no desaparezca del inventario,5,servicio-inventario,inventario,"traslados, traslado_lineas, movimientos_inventario",—,HU-030,"inventario, backend","1. Dado un traslado en estado `EN_TRANSITO`, cuando consulto el inventario, entonces la mercancía figura en la bodega de tránsito, no perdida.
2. Dado un traslado, cuando lo recibo, entonces se generan dos movimientos: salida de origen y entrada en destino.
3. Dada una cantidad recibida mayor que la enviada, cuando la registro, entonces se rechaza.
4. Dado un traslado con bodega origen igual a la destino, cuando lo creo, entonces se rechaza.",
HU-033,Ajustes de inventario con motivo,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,ajustar el stock tras un conteo físico o una avería,"que el sistema refleje lo que hay de verdad, con constancia de por qué cambió",5,servicio-inventario,inventario,"ajustes_inventario, ajuste_lineas, movimientos_inventario",—,HU-030,"inventario, backend","1. Dado un ajuste por conteo físico, cuando lo cargo, entonces registro cantidad de sistema y cantidad física, y la diferencia se calcula sola.
2. Dado un ajuste en borrador, cuando lo aplico, entonces se generan los movimientos y ya no se puede editar.
3. Dado un ajuste sin motivo, cuando intento aplicarlo, entonces responde 422.
4. Dado un ajuste aplicado, cuando reviso la auditoría, entonces consta quién lo hizo y quién lo aprobó.",
HU-034,Reserva y liberación de stock para la saga de ventas,E03,Inventario · catálogo del patrón Venta directa,arquitecto,que Inventario pueda apartar stock temporalmente y liberarlo si la venta no se concreta,que dos cajas no vendan la última unidad al mismo tiempo,8,servicio-inventario,—,"reservas_stock, existencias",—,HU-030,"inventario, backend, eventos, clave","1. Dado un evento `solicitar_reserva_stock` con stock suficiente, cuando llega, entonces se crea la reserva, sube `cantidad_reservada` y se publica `stock_reservado`.
2. Dado stock insuficiente, cuando llega la solicitud, entonces se publica `stock_reserva_fallida` con el detalle de qué faltó.
3. Dada una reserva que expira sin confirmarse, cuando pasa el tiempo, entonces un job la libera y `cantidad_reservada` baja.
4. Dadas dos solicitudes concurrentes por la última unidad, cuando llegan a la vez, entonces solo una obtiene la reserva.
5. Dada una reserva confirmada, cuando llega `venta_completada`, entonces se convierte en salida real y se registra el movimiento.","Sin la expiración, si Ventas muere entre la solicitud y la confirmación, el stock queda bloqueado para siempre."
HU-035,Búsqueda de productos y escaneo de código de barras,E03,Inventario · catálogo del patrón Venta directa,vendedor,"encontrar un producto por nombre, SKU o escaneando su código",no demorar la venta buscando en una lista larga,5,—,inventario,"productos, producto_codigos",design/pantallas/InventarioMovil.html,HU-028,"inventario, flutter","1. Dado el buscador, cuando escribo tres caracteres, entonces filtra por nombre, SKU o código de barras.
2. Dado un celular Android, cuando uso el escáner, entonces al leer un código válido abre el producto directamente.
3. Dado el navegador, cuando el acceso a la cámara falla o no está disponible, entonces siempre hay captura manual del código como alternativa.
4. Dado un código de barras alterno (caja de 12), cuando lo escaneo, entonces se resuelve al producto con su factor de conversión.",
HU-036,Listas de precios y precios por volumen,E03,Inventario · catálogo del patrón Venta directa,administrador del negocio,manejar precios distintos por lista de precios y por cantidad,poder vender al mayorista a otro precio sin duplicar el catálogo,5,servicio-inventario,inventario,"listas_precios, precios_producto",—,HU-028,"inventario, backend","1. Dado un cliente con lista de precios asignada, cuando lo selecciono en una venta, entonces los precios cambian solos.
2. Dado un precio por volumen desde 12 unidades, cuando vendo 15, entonces aplica ese precio.
3. Dada una lista con vigencia vencida, cuando intento usarla, entonces no aparece entre las opciones.
4. Dado un descuento mayor al máximo permitido de la lista, cuando lo aplico, entonces se rechaza.",
